Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Affenpinscher,Toy,,,,11 - 14 yrs.,9½ - 11½ in.,6½ - 13¼ lbs,60,95,20,80,66,100,67,25,80,25,63,40,50,80,90,95,20,20,84,70,,"Everything about the Affenpinscher dog breed. Discover Affenpinscher coloring, sizing, traits, lifespan, and compare Affenpinschers to other dog breeds.","Affenpinschers are charming toy dogs full of feistiness and energy. The affen's unkempt appearance and fearless attitude have given the dog many nicknames. Two of the most popular are ""Monkey Dog"" (which is affenpinscher directly translated from German) and ""Mustached Little Devil"" or ""Diablotin Moustachu"" in French. Originally bred to be a smaller ratting dog (whose job is to rid homes of mice), they became sought after by women as the breed's average size decreased. Eventually the breed's intelligence and charm made t..."
Afghan Hound,Hound,,,,10 - 12 yrs.,24 - 29 in.,45 - 60 lbs,80,90,90,80,31,67,67,50,60,25,13,20,10,80,20,95,35,35,63,70,,"Everything about the Afghan Hound dog breed. Discover Afghan Hound coloring, sizing, traits, lifespan, and compare Afghan Hounds to other dog breeds.","This breed has an aristocratic personality and expects to be catered to whenever they wish. They are agile runners and jumpers, and they do best with spacious houses that have acreage. Those interested in owning an Afghan Hound should be ready very patient and have an excellent understanding of what it means to be a pack leader. Afghan Hounds are large-sized dogs, with a height that ranges between 24 to 29 inches, and a weight that ranges between 45 to 60 pounds. They are tall dogs with a lean weight, and they have a li..."
Airedale Terrier,Terrier,,,,10 - 13 yrs.,22 - 24 in.,50 - 65 lbs,80,80,80,80,66,100,83,88,60,25,75,85,10,95,10,20,40,40,42,100,"Excellent work ethic, Good-natured and playful, Adapts well to warm or cool climates, Good watchdog abilities, Low to moderate barking tendency, Easily trained, Good health, Excels in agility and sporting competitions, Very intelligent, Socializes well with kids and other pets","Everything about the Airedale Terrier dog breed. Discover Airedale Terrier coloring, sizing, traits, lifespan, and compare Airedale Terrier to other dog breeds","They are playful and do best if allowed to participate in all family activities; they should not be left alone or in small, confined areas for long periods of time. They need moderate exercise and are considered high maintenance in regards to grooming. Most owners would agree that members of this breed are highly trainable and pick up on tasks during the first attempts. Generally healthy dogs, the Airedale should live 10-13 years. The Airedale Terrier is a member of the Terrier group of breeds, and was originally develo..."
Akita,Utility,,,,10 - 12 yrs.,24 - 28 in.,70 - 130 lbs,35,90,15,15,48,67,33,50,80,50,25,40,80,95,50,40,15,15,42,60,"Courageous and loyal, Very intelligent, Unparalleled guard dog skills, Affectionate and playful with family members, Good work ethic, Low to moderate barking tendencies, Adapts well to cold climates, Extremely clean and self-maintaining","Everything about the Akita dog breed. Discover Akita coloring, sizing, traits, lifespan, and compare Akitas to other dog breeds.","The akita is known for their stubbornness, so they may not be the best choice for a first time dog owner. They make a good family dog, but can be aggressive towards other dogs (especially if they are the same sex). The Akita is a member of the Working group of breeds, and has been utilized as a guard dog and large-game hunter for centuries. These powerful, protective dogs are quite affectionate with and loyal to their families--and suspicious of (and often dangerously aggressive towards) everybody else. As such, Akitas ..."
Alaskan Malamute,Working,,,,12 - 15 yrs.,23 - 25 in.,80 - 100 lbs,85,85,60,40,92,67,67,75,80,50,75,80,20,95,10,20,20,20,21,70,"Extremely intelligent, High tolerance to cold, Very friendly with people, Excellent for active lifestyles","Everything about the Alaskan Malamute dog breed. Discover Alaskan Malamute coloring, sizing, traits, lifespan, and compare Alaskan Malamutes to other dogs.","Alaskan Malamutes are considered to be independent thinkers, so they can be stubborn when it comes to training. The breed has a high prey drive and a lot of energy, so it is recommended to socialize them at a young age and give them ample exercise to keep their mischievousness under control. For centuries and perhaps even millennia, the Alaskan Malamute was a sled dog who also helped to locate food and be a hunter alongside humans. These days, they remain in that capacity but only in certain regions. In many places, the..."
Anatolian Shepherd Dog,Pastoral,,,,11 - 13 yrs.,26 - 30 in.,110 - 150 lbs,40,60,40,40,31,100,33,50,60,75,63,80,90,60,90,20,60,60,42,80,"Terrific guard dog skills, Intelligent and intuitive, Affectionate and loyal to immediate family, Adapts well to both hot and cold temperatures, Easy to groom, Easily tolerates being alone for extended periods, Responds very well to training, Good work ethic, Only moderate exercise required","Anatolian Shepherd Dog information, facts, and high-quality breed pictures. Learn everything about the Anatolian Shepherd Dog dog breed including temperament, care, and more.","The Anatolian Shepherd Dog is a large-sized dog of the Mastiff type that originated in Turkey. Developed thousands of years ago by nomadic tribesmen to be protectors of livestock and property, Anatolian Shepherds are bold, courageous, and often known for their instinct to protect both people and animals. They require moderate maintenance (little grooming or training and moderate exercise), and are considered quite healthy. Overall, dogs of this breed are excellent livestock or property guardians; while they can also be ..."
Austrialian Cattle Dog,Pastoral,,,,12 - 14 yrs.,17 - 20 in.,30 - 50 lbs,80,95,50,80,31,100,67,75,90,25,100,95,30,95,20,40,60,60,11,100,"Sturdy, Very loyal, Bonds strongly, Highly intelligent, Loves agility tasks, Exceedingly active, Superior herding dog, Great at canine sports, Protective of family members","Everything about the Australian Cattle dog breed. Discover Australian Cattle Dog coloring, sizing, traits, lifespan, and compare Blue Heelers to other dogs","Australian Cattle Dogs are a high energy dog breed as well as very intelligent. This combined with their strong desire to complete tasks can make them a challenge for first time dog owners. The breed excels with families that are very active and display leadership qualities which keeps the breed exercised and under control. On average, the Australian cattle dog stands 18 inches tall (from ground to shoulder) and weighs 40 pounds. As a medium sized dog breed, the Australian Cattle Dog may seem a bit small to be able to c..."
Australian Shepherd,Pastoral,,,,12 - 15 yrs.,18 - 23 in.,50 - 65 lbs,81,95,80,10,66,67,83,75,40,50,63,95,20,95,30,20,40,40,42,100,,"Everything about the Australian Shepherd dog breed. Discover Australian Shepherdcoloring, sizing, traits, lifespan, and compare Aussies to other dog breeds.","Like other highly intelligent working dog breeds, Australian shepherds dislike downtime. They are not the dog to sleep on the floor while you watch TV. Instead the breed's instincts make them anxious without tasks to complete or a job to do. Because of this, Australian shepherds need a family that is very active or one that enjoys teaching their aussie tricks as bored or unchallenged Australian shepherds will often find mischievous ways to entertain themselves. Australian shepherds are a medium to large sized dog breed...."
Australian Silky Terrier,Toy,,,,12 - 15 yrs.,9 - 10 in.,8 - 11 lbs,60,80,60,40,66,67,17,50,80,13,75,80,50,80,70,95,60,60,63,70,"Affectionate, Sheds minimally, Intelligent, Good watchdog abilities, Easily trained, Hypoallergenic, Active and inquisitive, Excellent health, Adapts well to apartment life, Great travel companion, Fairly easily groomed","Silky Terrier information, facts, and high-quality breed pictures. Learn everything about the Silky Terrier dog breed including temperament, care, and more.","The Silky Terrier is a member of the Toy category of dog breeds, and was originally developed in Australia to be a companion pet. These spunky little dogs normally have quite domineering personalities, and are best suited for singles or families of any size--but owners will probably need to provide a good deal of training and socialization to instill proper behavior in their Silky Terriers. Some Silky Terrier facts: they're small-sized (weight averages 10 pounds, and height at the shoulders is about 10 inches), with lon..."
Australian Terrier,Terrier,,,,11 - 14 yrs.,9 - 11 in.,14 - 16 lbs,60,80,60,40,66,100,100,88,100,25,88,60,40,95,90,95,40,40,63,90,"Very sturdy, Hypoallergenic, Great guard dog, Few health issues, Doesn't shed much, Low grooming needs, Perfect for highly active people","Australian Terrier information, facts, and high-quality breed pictures. Learn everything about the Australian Terrier dog breed including temperament, care, and more.","The Australian Terrier is a rough-coated, ever-vigilant and too-cute dog that is also one of the smallest Terrier breeds in the world. Despite their lapdog size, they are scrappy even as they are great little show dogs. They have weather-resistant coats that help protect them in tight spots when they are killing rats or hunting snakes. Bred as much for companionship as for ratting and other pest extermination, these dogs are not quite the best for first-time dog owners. Australian Terrier problems tend to come from negl..."
Azawakh,Hound,,,,10 - 12 yrs.,24 - 29 in.,44 - 55 lbs,60,80,40,60,48,100,100,100,60,25,25,60,90,60,90,95,60,60,42,90,"Superior vision, Great guard dogs, Brilliant watchdogs, Remarkably rugged, Extremely beautiful, Very few health problems, High tolerance to extreme heat, Intriguing communication forms, Can excel in certain competitions, Perfect for extremely intense lifestyles, Even in desert heat, can reach running speeds of 32 to 40 mph","Azawakh information, facts, and high-quality breed pictures. Learn everything about the Azawakh dog breed including temperament, care, and more.","The Azawakh is a hunting and guardian dog breed from the West African region. They look like taller, thinner Greyhounds or Whippets. The Fédération Cynologique Internationale formally recognized the breed in 1980, and the United Kennel Club followed suit in 1993. They were placed in the American Kennel Club's Foundation Stock Service in 1997. The Azawakh is a sighthound used for hunting and guardian work. They are without a doubt not for people who have no experience with this breed. For the most part, they are not grea..."
Barbet,Gundog,,,,13 - 15 yrs.,20 - 25 in.,37 - 62 lbs,80,95,80,80,66,50,67,75,80,0,50,80,60,80,70,60,20,20,42,90,"Very calm, Loves water, Low shedder, Easy to train, Hypoallergenic, Somewhat goofy, Very intelligent, Loves to snuggle, Remarkably loyal, Great hunting dogs, Few health problems, Plays well with kids, Excellent therapy dog, Superb water-retrieval, Understands human moods, Loves learning new tricks, Adapts well to new places, Socializes easily with other pets","Barbet information, facts, and high-quality breed pictures. Learn everything about the Barbet dog breed including temperament, care, and more.","The Barbet is a French water dog that has been used for hunting and water retrieval since the 14th century. They are big dogs with thick coats whose playful, energetic and pleasing personality makes them ideal so long as they have a job (preferably hunting) that allows them a lot of daily, thoughtful activity. Above all else, you should understand that these dogs love water so much that the French have given them a nickname, ""être crotté comme un Barbet,"" which means ""extremely muddy."" The AKC placed this breed in its F..."
Basenji,Hound,,,,10 - 12 yrs.,16 - 18 in.,20 - 24 lbs,90,90,90,75,92,100,67,75,40,25,13,5,40,40,70,95,80,80,84,70,"Intelligent, Affectionate and playful with loved ones, Extremely low barking tendencies, Socializes well with other dogs, Good for apartment living, Low grooming requirements, Will tolerate being left alone, Good watchdog abilities, Very clean/self-sufficient","Basenji information, facts, and high-quality breed pictures. Learn everything about the Basenji dog breed including temperament, care, and more.","The Basenji is a medium-sized, short-haired breed native to Africa. Often called the ""Barkless Dog,"" a Basenji normally doesn't bark, but instead produces a series of yodels, yips, and howls. Dogs of this breed have strong hunting instincts, and while affectionate and playful with those they know, they can be quite independent and self-willed. These energetic dogs require moderate maintenance (minimal grooming but frequent exercise), and can be hard to train. Basenjis are best suited for active singles, families with ol..."
Basset Bleu De Gascogne,Hound,,,,12 - 14 yrs.,13 - 17 in.,35 - 40 lbs,85,89,85,93,87,100,33,63,30,75,25,88,60,73,70,30,65,83,85,80,,"Basset Bleu De Gascogne information, facts, and high-quality breed pictures. Learn everything about the Basset Bleu De Gascogne dog breed including temperament, care, and more.","A scent hound whose primary task was to hunt rabbits in the brutal brambles, the Basset Bleu de Gascogne is, nevertheless, a great family dog that is accustomed to being around other dogs, playing with children and the company of people. Ideally this breed should be partnered with a hunter or just a generally active owner that lives somewhere with a large yard (at the very least). The Basset Bleu is a shedder but is otherwise fairly low maintenance. Males and females are alike in size when mature, and when mature they a..."
Basset Fauve De Bretagne,Hound,,,,10 - 14 yrs.,12½ - 15½ in.,27 - 35 lbs,60,57,72,45,59,83,50,75,50,50,88,62,30,63,30,32,90,91,55,70,"Cancer, Epilepsy, Cataracts, Heart disease, Kidney failure, Ear infections, Corneal ulcers, Reproductive problems","Basset Fauve De Bretagne information, facts, and high-quality breed pictures. Learn everything about the Basset Fauve De Bretagne dog breed including temperament, care, and more.","The Basset Fauve de Bretagne is a French hunting dog whose long, strong body, short, powerful legs, and tough, wiry hair makes it one of the more naturally suited hunting dogs of the region. The breed first appeared in the 19th century, and while it apparently nearly died out in the 20th century, the strain remains highly popular if somewhat rare. Unlike most French dog breeds, however, not much is known about its conception or a fair amount of the breed's history. The Basset Fauve de Bretagne is a hunting dog whose int..."
Basset Griffon Vendeen (Grand),Hound,,,,10 - 12 yrs.,23½ - 27½ in.,66 - 77 lbs,75,89,87,60,86,100,33,63,60,25,25,88,70,74,60,25,65,83,85,80,"Fantastic hunting skills, Fairly friendly and outgoing, Excellent work ethic, Socializes well with other dogs, Intelligent, Adapts well to outdoor living, Good overall health","Grand Griffon Vendeen information, facts, and high-quality breed pictures. Learn everything about the Grand Griffon Vendeen dog breed including temperament, care, and more.","The Grand Griffon Vendeen originated in France around the 16th century as a hunting dog. These scent hounds accompanied large game hunters of wild boars, stag and deer as well as foxes. This is a determined, strong willed breed that will excel in hunting but can also be trained in obedience if the owner positions themselves as a firm leader, however in generally, Grand Griffons are not easily trained. This breed is ideal for homes with multiple dogs, as it used to being part of a hunting pack but not a good match for a ..."
Basset Griffon Vendeen (Petit),Hound,,,,11 - 14 yrs.,12½ - 15½ in.,25 - 40 lbs,90,90,95,85,88,33,0,63,20,75,38,85,30,90,20,15,90,80,84,80,"Hernias, Epilepsy, Cataracts, Glaucoma, Skin allergies, Lens luxation, Hip dysplasia, Heart diseases, Luxating patella, Hypothyroidism, Retinal dysplasia, Digestive problems, PBGV Pain Syndrome, Inflammatory brain disease, Persistent pupillary membranes","Petit Basset Griffon Vendeen information, facts, and high-quality breed pictures. Learn everything about the Petit Basset Griffon Vendeen dog breed including temperament, care, and more.","This long-established, short-legged, remarkably strong scenthound has been a favorite hunting dog in France since the 16th century. Until the late 19th century, the breed was used almost exclusively by royalty to chase down rabbits and birds in the thorns brambles that other dogs would not enter. These days, these dogs tend to be found more in dog shows than in field hunts. The Petit Basset Griffon Vendeen is a hunting dog, and has been bred so for several centuries. These dogs are headstrong but are fine for first-time..."
Basset Hound,Hound,,,,10 - 12 yrs.,12 - 14 in.,50 - 65 lbs,95,98,95,95,96,67,0,25,80,50,75,40,10,40,30,95,60,60,84,70,"Bloat, Obesity, Allergies, Panosteiti, Cherry Eye, Otitis Externa, Hip dysplasia, Thrombopathia, Patellar luxation, Von Willebrand's Disease, Intervertebral Disc Disease, Eyelid and eyelash problems","Everything about the Basset Hound dog breed. Discover Basset Hound coloring, sizing, traits, lifespan, and compare Basset Hounds to other dog breeds.","Emotion motion Jelly Dude CC BY Dog Breeds Basset Hound Basset Hound Dog Breed Other names: Basset Basset Dog Basset Puppy Hush Puppy The basset hound is a short large breed dog most famously known as Hush Puppy dog. The breed is a scent hound and was originally bred for hunting rabbits and other small game. Today the basset hound is still used as a small game hunter, but they are more common as a house dog. Basset hounds have a short coat and their body has some unique features which help the breed excel with their sce..."
Bavarian Mountain Hound,Hound,,,,12 - 15 yrs.,17 - 20½ in.,44 - 55 lbs,65,64,80,50,61,100,67,88,100,38,50,88,60,71,60,37,75,70,68,80,,"Bavarian Mountain Hound information, facts, and high-quality breed pictures. Learn everything about the Bavarian Mountain Hound dog breed including temperament, care, and more.","The Bavarian Mountain Hound is a Scenthound recognized by various Kennel Clubs including the UKC and Irish Kennel Club. Descended from the original ""bracken"" hunting dogs of this area, they have long been utilized to trail game in the Bavarian Mountain region. These medium-sized, long-lived dogs are not a commitment to be taken lightly due to their high exercise needs. Their ideal homes would be with a hunter or very physically active individual/family that had a large yard (at minimum) and plenty of time to exercise th..."
Beagle,Hound,,,,10 - 15 yrs.,13 - 16 in.,22 - 30 lbs,95,95,95,95,96,100,33,50,20,38,88,20,30,95,80,85,10,10,63,80,"Anemia, Obesity, Epilepsy, Hepatitis, Deafness, Cataracts, Cherry eye, Narcolepsy, Glaucoma, Ear infections, Joint dysplasia, Hypothyroidism, Lymphosarcoma, Corneal dystrophy, Pulmonic stenosis, Hypochondroplasia, Beagle Pain Syndrome, Invertebral disk disease, Chinese Beagle Syndrome, Pituitary-dependant hyperadrenocorticism","Everything about the Beagle dog breed. Discover Beagle coloring, sizing, traits, lifespan, and compare Beagles to other dog breeds.","Beagles are very friendly affectionate dogs and will quickly bond with everyone in the family, including pets. They can be somewhat challenging to train and require creative owners to find the best approach to keeping the dog in a state of obedience. Beagles are hunting dogs, but they don't hunt to kill but to track and tree, or corner, game. Still, with the right home, they make good family companions and can be fun. While first time dog owners can find their behavior frustrating, and Beagles for kids might not be the ..."
Bearded Collie,Pastoral,,,,12 - 14 yrs.,20 - 22 in.,40 - 60 lbs,95,95,80,95,83,33,67,75,60,50,25,80,70,95,90,60,40,40,84,100,"Joint problems such as hip dysplasia and arthritis, Hypothyroidism is an endocrine disorder than can affect many aspects of your dogs body so it's best to get this blood test if you sense anything is out of the ordinary., Addison's Disease affects the dogs adrenal glands and result in dehydration, low energy and depression--this also is detectable via a blood test., Cancer, Eye Diseases","Bearded Collie information, facts, and high-quality breed pictures. Learn everything about the Bearded Collie dog breed including temperament, care, and more.","As a herding breed, you can expect the bearded collie to have high intelligence and will find the dog is capable of problem solving issues which, while ideal for farming, may lead to mischief if there is a lack of mental stimulation in the household. You can expect the breed to excel at training and to pick up new tricks almost effortlessly. A common complaint among owners is Bearded Collies tend to become bored and lose interest with training sessions that are too easy or predictable. Its hard to resist the perpetually..."
Beauceron,Pastoral,,,,10 - 12 yrs.,24 - 28 in.,70 - 110 lbs,60,95,60,20,66,100,67,75,20,25,38,95,80,95,80,60,20,60,63,80,"Highly intelligent and obedient, Excellent work ethic, Fantastic guard and watchdog abilities, Excels in obedience and agility trials, Low grooming requirements, Protective and loyal, Excellent health, Responds well to training, Adapts easily to a variety of temperatures","Beauceron information, facts, and high-quality breed pictures. Learn everything about the Beauceron dog breed including temperament, care, and more.","The Beauceron is a large-sized, short-haired herding dog that originated in France. Dogs of this breed are intelligent, focused, obedient, and can be dominant and even aggressive if not properly socialized. Beaucerons require little grooming, moderate training (including plenty of socialization), and lots of exercise. They also suffer from few health issues. Overall, these dogs are best suited to working on farms, or as pets for active families willing to deal with their dominant personalities. The Beauceron, a member o..."
Bedlington Terrier,Terrier,,,,15 - 17 yrs.,15 - 17 in.,18 - 23 lbs,95,95,80,80,96,50,67,75,80,13,25,60,50,95,70,80,60,60,84,90,,"Bedlington Terrier information, facts, and high-quality breed pictures. Learn everything about the Bedlington Terrier dog breed including temperament, care, and more.","Bedlington Terriers are not afraid to assert themselves when around other dogs. The breed can become jealous and will challenge other dogs they dislike and despite their soft appearance the Bedlington's bite is worse than their bark. Bedlington's do well with children and tolerate other pets in the family, but is is recommended to socialize the breed at a young age. The Bedlington Terrier, as its name suggests, is a member of the Terrier group of most clubs. These small but agile dogs were originally developed in Englan..."
Belgian Shepherd Dog (Groenendael),Pastoral,,,,11 - 13 yrs.,22 - 26 in.,65 - 75 lbs,95,80,95,95,83,50,67,75,60,75,13,100,70,95,100,60,60,60,63,100,,"Groenendael information, facts, and high-quality breed pictures. Learn everything about the Groenendael dog breed including temperament, care, and more.","A medium- to large-sized breed. Males are 24-26 inches at the shoulder in height, and weigh 65-75 pounds; females are 22-24 inches in height, and 60-70 pounds in weight. Groenendaels are active, sensitive dogs. They have a good work ethic (and with it, a strong herding instinct), and may be stubborn and shy; experts suggest raising this breed from puppyhood for best results. These dogs form close bonds with their families, and will be very protective of them."
Belgian Shepher Dog (Laekenois),Pastoral,,,,11 - 13 yrs.,22 - 26 in.,65 - 75 lbs,95,80,95,95,83,50,67,75,60,75,13,100,70,95,100,60,60,60,63,100,,"Groenendael information, facts, and high-quality breed pictures. Learn everything about the Groenendael dog breed including temperament, care, and more.","A medium- to large-sized breed. Males are 24-26 inches at the shoulder in height, and weigh 65-75 pounds; females are 22-24 inches in height, and 60-70 pounds in weight. Groenendaels are active, sensitive dogs. They have a good work ethic (and with it, a strong herding instinct), and may be stubborn and shy; experts suggest raising this breed from puppyhood for best results. These dogs form close bonds with their families, and will be very protective of them."
Belgian Shepherd Dog (Malinois),Pastoral,,,,10 - 12 yrs.,22 - 28 in.,64 - 75 lbs,35,40,50,40,35,83,83,88,80,50,38,100,90,85,100,20,60,20,21,100,,"Belgian Malinois information, facts, and high-quality breed pictures. Learn everything about the Belgian Malinois dog breed including temperament, care, and more.","The Belgian Malinois is considered a medium sized breed. Adult males average a height of 24 - 28 inches and weigh between 65 and 75 pounds. Adult females will stand 22 - 24 inches tall and weigh between 55 and 65 pounds. Strong and well-built, these robust dogs are highly versatile and excel in a wide variety of roles; as an agility competitor or a guard dog, there are few breeds that can outmatch the Belgian Malinois. The Belgian Malinois is loyal and terribly smart. These dogs continue to excel in a number of roles an..."
Belgian Shepherd Dog (Tervueren),Pastoral,,,,10 - 12 yrs.,22 - 26 in.,55 - 75 lbs,60,80,60,60,66,100,67,75,60,75,75,95,40,95,70,60,20,20,63,80,"Highly intelligent, Athletic and agile, Adaptable to both hot and cold weather, Easily trained, Affectionate and playful, Excellent watchdog abilities, Competes very well in obedience and agility trials, Fairly easily groomed","Belgian Tervuren information, facts, and high-quality breed pictures. Learn everything about the Belgian Tervuren dog breed including temperament, care, and more.","The Belgian Tervuren is a medium-sized, medium- to long-haired shepherd breed that originated in Belgium. ""Tervs,"" as they're known for short, are hard-working, playful, and sensitive in temperament. They require moderate care (little grooming, some training, and lots of exercise), and are considered very healthy. Dogs of this breed are best suited to active, experienced owners who can provide their dogs with plenty of physical and mental stimulation, and a great deal of attention. Tervs are not recommended for first-ti..."
Bergamasco,Pastoral,,,,12 - 15 yrs.,21 - 24 in.,70 - 84 lbs,60,95,60,20,31,100,33,50,40,0,25,80,80,80,80,40,20,20,21,80,"Hypoallergenic, Not aggressive, Extremely protective, Not prone to drooling, Well above-average intelligence, Very friendly if properly socialized, Highly tolerant of very cold weather, Very few general health problems possible, Typically moderate in size (despite the massive coat)","Bergamasco information, facts, and high-quality breed pictures. Learn everything about the Bergamasco dog breed including temperament, care, and more.","This ancient breed hails from Italy. While this odd-looking yet beautiful dog has been around for a couple millennia, the American Kennel Club (AKC) only recognized them in 2015. Just as the massive, ropey coat suggests, this is a dog to behold. The breed is well-known to be reserved, talented and especially smart. If ever you get the chance to meet and pet a Bergamasco, you will never forget it! The Bergamasco is a herding dog through and through. (It practically goes without saying that the AKC categorized the breed u..."
Bernese Mountain Dog,Working ,,,,6 - 8 yrs.,23 - 27 in.,70 - 120 lbs,95,95,90,100,92,33,33,25,30,75,38,70,20,50,30,80,0,0,63,70,"Laid-back and even-tempered; not known for aggression, Excellent work ethic, Socialize very well with other pets, Easy to train, Good with children and strangers, Well-suited to cold climates, Good watchdog abilities","Everything about the Bernese Mountain Dog breed. Discover Bernese Mountain Dog coloring, sizing, traits, lifespan, and compare Bernese Mountain Dogs to other dog breeds.","Bernese Mountain Dogs are loyal companions and are not suited for outdoor living because they enjoy being in the presence of the owner and/or family. These dogs do best in cool to very cold weather as you can see by the thick coat and hardy build, so they should not live in warm or hot climates. They should be exercised at night or early morning so warmer temperatures can be avoided. Bernies are not guard dogs and are not aggressive. This breed is easily trained and enjoys being tasked. Unfortunately, there is less gene..."
Bichon Frise,Toy,,,,12 - 15 yrs.,9 - 11 in.,7 - 12 lbs,90,95,85,95,98,33,50,50,80,0,75,85,20,75,40,100,0,10,63,80,"Epilepsy, Gingivitis, Pyoderma, Liver shunt, Ear infections, Hemophilia B, Heart disease, Crowded teeth, Patellar luxation, Inherited cataracts, Endocrine diseases, Severe chronic allergies, White Shaker Dog syndrome, Urinary infections and stones","Everything about the Bichon Frise dog breed. Discover Bichon Frise coloring, sizing, traits, lifespan, and compare Bichon Frise to other dog breeds.","The bichon frise is an intelligent dog breed and is highly trainable. Their small size makes them an ideal dog for any apartment, but they do suffer from separation anxiety which is something potential owners need to consider if they are frequently away. They do have a lot of energy, but as a small dog their exercise requirements is less than larger dogs breeds with the same level of energy. The Bichon Frise was originally bred to be a ratter and companion dog for sailors in the Mediterranean. In time, they became royal..."
Black & Tan Coonhound,Hound,,,,10 - 12 yrs.,23 - 27 in.,50 - 75 lbs,95,95,95,95,96,100,50,50,100,25,75,40,60,95,60,20,40,40,42,50,"Cataracts, Ectropion, Entropion, Hemophilia B, Hip dysplasia, Coonhound paralysis, Ticks and other parasites","Black And Tan Coonhound information, facts, and high-quality breed pictures. Learn everything about the Black And Tan Coonhound dog breed including temperament, care, and more.","The Black and Toon Coonhound is an American-born and -bred dog breed whose popularity may not be wide but is deeply appreciated. These dogs may have come from a mix of dogs both British and pre- (and post-) American, but they are definitely all-American. They still go by a few longer names (such as the American Black and Tan Coonhound) as well as just Black and Tans or just B&Ts. The Black and Tan Coonhound is a gun dog used for tracking, treeing, and other hunting tasks. While fewer seem to be used as intended and are ..."
Bloodhound,Hound,,,,11 - 15 yrs.,23 - 27 in.,90 - 110 lbs,95,95,95,95,96,67,33,50,60,50,100,60,20,60,30,20,40,40,42,70,"Highly intelligent, Affectionate and docile (except when tracking a scent!), Adaptable to both hot and cold climates, Socializes well with kids and other pets, Good watchdog abilities, Moderately healthy, Fantastic tracking skills, Excels in agility trials and ""doggy sports""","Everything about the Bloodhound dog breed. Discover Bloodhound coloring, sizing, traits, lifespan, and compare Bloodhounds to other dog breeds.","Despite the breed's tracking ability, they are extremely friendly dogs to both people and animals. Their only desire in life is to follow a scent. They make good family dogs, however they can be difficult to care for so they are not recommended for people inexperienced with dogs. The Bloodhound, a member of the Hound group of breeds, has been utilized as a scenthound and tracking dog for perhaps as long as recorded history itself. Dogs of this breed are affectionate, active, and intelligent, and are good both in a worki..."
Bolognese,Toy,,,,12 - 15 yrs.,9 - 12 in.,8 - 14 lbs,95,95,95,95,96,17,50,50,90,13,75,95,60,60,50,95,40,40,63,60,"Extremely affectionate, Intelligent, Sheds minimally; good for allergy sufferers, Normally good-natured and playful, Socializes pretty well with children and other pets, Good health, Great for apartment life, Fantastic ""snuggle buddy"", Responds fairly well to training, Extremely willing to please","Bolognese information, facts, and high-quality breed pictures. Learn everything about the Bolognese dog breed including temperament, care, and more.","The Bolognese, a member of the Toy group of breeds, is the very definition of a personal companion dog. These little animals have existed as lapdogs for centuries, and are good pets for singles, seniors, and anyone willing to provide them with the love and attention they need. A few Bolognese dog facts: they're small-sized (average weight is 11 pounds, and average height is 10 inches), with long-haired, single-layered, fluffy coats that only exist in white. They have a relatively long lifespan of 12-15 years, and will r..."
Border Collie,Pastoral,,,,12 - 15 yrs.,18 - 22 in.,30 - 45 lbs,75,80,60,60,66,100,67,75,40,25,88,95,20,85,60,70,66,30,32,100,,"Everything about the Border Collie dog breed. Discover Border Collie coloring, sizing, traits, lifespan, and compare Border Collies to other dog breeds.","Border collies have high energy and stamina with a workaholic attitude. They need both mental and physical tasks to keep them occupied, so if you're looking for companion to relax on the couch this is not the breed. Because of this the breed is recommended for active owners and is ideal for anyone interested in agility sports such as frisbee throwing and agility courses. Border Collies are neither for the meek nor the he lazy. These are wonderful dogs whose small body should not be underestimated. Originally bred to be ..."
Border Terrier,Terrier,,,,12 - 15 yrs.,10 - 16 in.,13 - 16 lbs,80,95,80,40,96,100,67,50,80,25,63,60,20,95,20,80,20,20,63,90,"Hypoallergenic, Great watchdogs, Few health problems, Low grooming needs, High tolerance to pain, Excellent vermin hunters, Perfect rural companion dog, Less excitable than other Terrier breeds, Gets along well with dogs and very young children","Everything about the Border Terrier dog breed. Discover Border Terrier coloring, sizing, traits, lifespan, and compare Border Terriers to other dog breeds.","The breed is affectionate, good tempered, and easy to train which makes them ideal pet for families who know how to tame their hunting instincts. They make great family dogs and can cope with different living environments whether its a small apartment or a house on a farm. Border Terriers were bred to be fox hunters: fast, wily and able to scrap in tight places. They were also bred to be companion dogs when not working. As long as they have daily and strenuous exercise, there should be few Border Terrier problems at hom..."
