Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Estrela Mountain Dog,Pastoral,,,,11 - 15 yrs.,24 - 29 in.,75 - 130 lbs,,,,,,67,0,50,,63,38,,80,,80,,,,,80,,"Everything about the Estrela Mountain Dog dog breed. Discover Estrela Mountain Dog coloring, sizing, traits, lifespan, and compare Estrela Mountain Dogs to other dog breeds.","The Estrela will need moderate care and maintenance. The breed sheds seasonally, so it'll need consistent brushing (and daily brushing in the spring and fall); the Estrela will also require early training and socialization to ensure proper behavior around people and other animals. The Estrela Mountain Dog is recognized by most major clubs, but is still part of the American Kennel Club's Foundation Stock Service. The Estrela Mountain Dog is a versatile breed, as evidenced by its recognition in various breed groups in dif..."
Eurasier,Utility,,,,12 - 14 yrs.,18 - 24 in.,51 - 70 lbs,95,95,95,80,83,100,50,63,60,25,13,80,50,95,60,80,20,20,84,80,,"Eurasier information, facts, and high-quality breed pictures. Learn everything about the Eurasier dog breed including temperament, care, and more.","Eurasiers are medium sized with males standing at 21-24 inches at the shoulders and weighing in around 51-70 pounds. Females are smaller at 18-20 inches and 39-57 pounds. This breed was specifically intended to be the ideal family companion, and that it is! Excellent and intuitive with kids, and also a perfect addition to a multi pet household due to its lack of hunting instincts. They bond very closely with their family and it is a necessity that they be in your vicinity. This is not the best choice if you want a pet t..."
Finnish Lapphund,Pastoral,,,,12 - 14 yrs.,16 - 21 in.,33 - 53 lbs,95,95,95,95,83,67,33,50,80,75,75,95,30,95,90,80,40,40,84,80,"Great with children, Good with other dogs, Usually get along with cats, Natural herding abilities, Exercise buddy, Makes a good watchdog, Calm and gentle with the elderly and those with special needs, Can live indoors or out, Not difficult to train, Excels in agility, flyball and sports, Can live in very cold climates, Eye catching looks","Finnish Lapphund information, facts, and high-quality breed pictures. Learn everything about the Finnish Lapphund dog breed including temperament, care, and more.","The Finnish Lapphund's ancestors may be nearly 7,000 years old! Originating in the Lapland area (Northern Finland, Sweden and Russia), these dogs were companions to the nomadic Sami people. As civilization changed their primary job began to be herding reindeer for their human companions. Although the first breed standard was accepted by the Finnish Kennel Club in 1945, the standard for the modern Finnish Lapphund wasn't revised until 1996. The AKC recognized the breed in 2011. This breed is a great match for an owner or..."
Finnish Spitz,Hound,,,,13 - 15 yrs.,15½ - 20 in.,28 - 33 lbs,95,95,95,95,83,100,67,63,80,88,100,60,40,95,100,60,20,20,63,70,"Joint problems such as hip dysplasia, patellar luxation and elbow dysplasia, Epilepsy, Eye Problems","Finnish Spitz information, facts, and high-quality breed pictures. Learn everything about the Finnish Spitz dog breed including temperament, care, and more.","Finnish Spitz dogs, or Suomen-pystyykorva as they are known in Finland, is a gundog whose ancestors date back some 3,000 years. The Finnish Spitz, itself, is not quite that old and the original type is said to have mixed greatly with other European breeds; in fact, the purebred Finnish Spitz was so rare by 1880 the breed has to be pulled from the brink of extinction by fanciers Hugo Sandberg and Hugo Roos. Although in almost every country the breed is primarily a family companion, in their native land they are still hun..."
Fox Terrier (Smooth),Terrier,,,,12 - 15 yrs.,13 - 16 in.,17 - 19 lbs,80,80,80,60,66,100,67,75,80,25,63,95,30,95,70,60,60,60,63,70,"Highly intelligent, Affectionate towards kids and family, Fairly easily trained, Extremely playful and fun-loving, Don't shed much, Can usually tolerate being left alone, Good health, Low grooming requirements, Excellent watchdog abilities, Extremely athletic","Smooth Fox Terrier information, facts, and high-quality breed pictures. Learn everything about the Smooth Fox Terrier dog breed including temperament, care, and more.","The Smooth Fox Terrier is a medium-sized, short-haired dog breed that is predominantly white in color, with patches of brown and/or black. This breed is genetically similar to the Wire Fox Terrier (and until the twentieth century, Smooths and Wires were considered variants of the same breed). Smooth Fox Terriers are lively, bold, and intelligent; while they're affectionate toward children and families, the same may not be said for other pets. Dogs of this breed typically require a moderate amount of maintenance. Though ..."
Fox Terrier (Wire),Terrier,,,,10 - 15 yrs.,14 - 15 in.,17 - 19 lbs,80,80,80,60,66,100,67,50,80,13,25,95,70,95,70,60,60,60,63,90,"Highly alert, Love to play, Hypoallergenic, Great with kids, Don't bark much, Are extremely cute, Very good watchdogs, Don't shed much, if at all, More than a bit humorous","Wire Fox Terrier information, facts, and high-quality breed pictures. Learn everything about the Wire Fox Terrier dog breed including temperament, care, and more.","The Wire Fox Terrier was considered a variety of Fox Terrier until relatively recently. This bold, courageous, and highly active dog has a great sense of humor, a perpetual desire to run free, and requires a master whose velvet glove is just that: an iron fist tends to be far too much for these highly sensitive — if extremely stubborn — dogs. This is not a very common breed, but when you see one, you know it. Although they are appreciated as companion dogs, they remain highly prized hunting dogs who will stop at nothing..."
Foxhound,Hound,,,,10 - 12 yrs.,21 - 25 in.,65 - 70 lbs,75,80,80,80,66,100,67,100,80,50,88,60,50,80,60,5,60,30,32,60,"Sweet-tempered and easygoing, Easy to groom, Great with children, Exceptionally healthy, Adaptable to both hot and cold climates, Fantastic hunting abilities, Socializes well with other pets (especially other dogs), Low to moderate shedding","Foxhound information, facts, and high-quality breed pictures. Learn everything about the Foxhound dog breed including temperament, care, and more.","The American Foxhound is a member of the Hound group of breeds, and has excelled as a versatile hunting dog since the breed was first developed in the 1700s. These energetic dogs make terrific companions for most any outdoor activity, be it hunting, jogging, or playtime with kids; their gentle dispositions make them great family pets too--but keep in mind that they'll be happiest when other dogs (particularly other Foxhounds) are also present in the household. Some American Foxhound facts: they're medium-sized (height a..."
French Bulldog,Utility,,,,8 - 14 yrs.,11 - 14 in.,16 - 28 lbs,80,95,80,80,83,100,0,25,40,50,38,80,40,95,50,95,5,5,100,60,,"Everything about the French Bulldog dog breed. Discover French Bulldog coloring, sizing, traits, lifespan, and compare French Bulldogs to other dog breeds.","The French Bulldog is a small sized dog breed. Adults stand 11 to 12 inches tall from ground to shoulder and weigh between 16-28 pounds. This size makes the French Bulldog a good choice for families in apartments, condos, or for people who have limited space for a dog. The breed is large enough to be overlooked by most predators, but shouldn't be left outside unsupervised for long periods of time. The French Bulldog has many of the same behavioral characteristics as the English Bulldog. The breed can be stubborn and can..."
German Longhaired Pointer,Gundog,,,,12 - 14 yrs.,23 - 26 in.,60 - 70 lbs,75,87,87,60,86,50,50,50,50,25,13,78,70,66,70,28,65,83,81,80,,"German Longhaired Pointer information, facts, and high-quality breed pictures. Learn everything about the German Longhaired Pointer dog breed including temperament, care, and more.","The GLP is a medium sized breed with males at 24-28 inches at the shoulder and females at 23-26. Weight is somewhere close to 65 pounds. Members of this breed are gentle, loyal, affectionate, good-natured, highly trainable and a host of other wonderful qualities. They are sociable with dogs, make excellent playmates for children and a friendly to benign strangers. They will likely have strong hunting instincts so either raise them with smaller pets or keep them separately."
German Pinscher,Working,,,,12 - 14 yrs.,16 - 19 in.,25 - 35 lbs,60,95,60,40,48,100,67,50,0,25,63,80,90,95,80,60,60,60,63,80,"Hip dysplasia, Elbow dysplasia, Cardiac disease, Thyroid disorder, von Willebrand disease, Immune deficiency problems","German Pinscher information, facts, and high-quality breed pictures. Learn everything about the German Pinscher dog breed including temperament, care, and more.","The German Pinscher is also called the Miniature Pinscher. This breed was well-known and commonly found in Germany and central Europe prior to World War 2. They were used primarily as farm dogs for a few centuries prior to the mid-20th century, when they were all but wiped out. These dogs have since made a resurgence even though they are no long used widely as working dogs. They were formally recognized in Germany back in 1879, have since 1894 been actively promoted by the German Pinscher Schnauzer Club, but were not re..."
